Date,Score,PositiveScore,NeutralScore,NegativeScore
2021-06-13 00:00:00+00:00,0.8689,0.226,0.774,0.0
2021-06-04 00:00:00+00:00,-0.4215,0.0,0.517,0.483
2021-05-24 00:00:00+00:00,0.6222,0.181,0.819,0.0
2021-05-22 00:00:00+00:00,0.4404,0.304,0.552,0.144
2021-05-13 00:00:00+00:00,-0.024,0.147,0.746,0.107
2021-05-07 00:00:00+00:00,0.5859,0.444,0.556,0.0
2021-04-26 00:00:00+00:00,-0.296,0.0,0.934,0.066
2021-03-12 00:00:00+00:00,-0.3182,0.0,0.813,0.187
2021-02-10 00:00:00+00:00,-0.34,0.0,0.87,0.13
2021-02-08 00:00:00+00:00,-0.3291,0.089,0.766,0.145
2021-02-07 00:00:00+00:00,0.5563,0.418,0.582,0.0
2021-05-20 00:00:00+00:00,0.7764,0.2065,0.7935,0.0
2021-05-16 00:00:00+00:00,-0.2086,0.0,0.964,0.036
2021-03-24 00:00:00+00:00,-0.0256,0.013,0.942,0.045
2021-02-20 00:00:00+00:00,0.1876,0.1882,0.7805,0.0312
2021-02-19 00:00:00+00:00,0.0604,0.1263,0.802,0.0717
2020-12-20 00:00:00+00:00,0.2202,0.21,0.79,0.0
