Date,Score,PositiveScore,NeutralScore,NegativeScore,Price,Price_diff
2021-06-13,0.8689,0.226,0.774,0.0,39022.9,-1506.5
2021-06-04,-0.4215,0.0,0.517,0.483,36851.3,1331.300000000003
2021-05-22,0.4404,0.304,0.552,0.14400000000000002,37448.3,2768.600000000006
2021-05-11,0.4404,0.43799999999999994,0.562,0.0,56695.7,7311.5
2021-05-07,0.5859,0.444,0.556,0.0,57337.2,-1502.9000000000015
2021-04-26,-0.29600000000000004,0.0,0.934,0.066,54020.5,-1016.0
2021-03-12,-0.3182,0.0,0.813,0.187,57265.1,-3930.2000000000044
2021-02-08,-0.3291,0.08900000000000001,0.7659999999999999,0.145,46395.7,-112.90000000000146
2020-07-18,0.0772,0.245,0.755,0.0,9170.2,-37.79999999999927
2020-07-01,0.8126,0.259,0.741,0.0,9229.9,144.79999999999927
2021-05-25,-0.0541,0.0895,0.7945,0.11599999999999999,38378.3,-870.8999999999942
2021-05-24,0.7545,0.3427,0.6573,0.0,38750.6,372.29999999999563
2021-05-20,0.4244,0.1624,0.8376,0.0,40717.2,3419.7999999999956
2021-05-16,-0.1326,0.0932,0.7978,0.109,46426.4,2885.0999999999985
2021-05-13,0.3862,0.325,0.6215,0.0535,49704.6,-135.20000000000437
2021-03-24,-0.0256,0.013000000000000001,0.9420000000000001,0.045,52325.4,1003.0999999999985
2021-03-13,-0.1204,0.018000000000000002,0.951,0.031,61195.3,2081.600000000006
2021-03-02,-0.1702,0.0,0.8253,0.1747,48424.2,-1970.9000000000015
2021-02-20,0.2522,0.191,0.784,0.025,55923.7,-1510.1000000000058
2021-02-19,0.0604,0.1263,0.802,0.0717,55906.6,-17.099999999998545
2021-02-14,0.36,0.17600000000000002,0.8240000000000001,0.0,48643.4,707.0999999999985
2021-02-11,-0.4078,0.0,0.631,0.369,47990.7,619.0
2021-02-10,-0.17,0.0,0.935,0.065,44836.0,-3154.699999999997
2021-02-07,0.2782,0.209,0.7909999999999999,0.0,38852.9,-7542.799999999996
2021-02-04,-0.2123,0.0,0.7753,0.2247,36982.1,-1315.5
2020-12-20,0.1468,0.14,0.86,0.0,23474.9,746.4000000000015
2021-06-26,0.0,0.0,0.0,0.0,31168.5,
2021-06-25,0.0,0.0,0.0,0.0,31594.0,425.5
2021-06-24,0.0,0.0,0.0,0.0,34665.8,3071.800000000003
2021-06-23,0.0,0.0,0.0,0.0,33674.3,-991.5
2021-06-22,0.0,0.0,0.0,0.0,32496.4,-1177.9000000000015
2021-06-21,0.0,0.0,0.0,0.0,31692.0,-804.4000000000015
